participant_id	age	sex
sub-SM07	25	M
sub-SM08	21	M
sub-SM09	24	F
sub-SM10	23	F
sub-SM11	24	F
sub-SM12	21	F
sub-SM16	22	M
sub-SM19	19	F
sub-SM21	24	M
sub-SM22	26	F
sub-SM23	18	M
sub-SM24	18	M
sub-SM27	28	M
sub-SM28	22	M
sub-SM30	24	M
sub-SM31	22	M
sub-SM32	20	M
sub-SM33	24	F
sub-SM35	20	F
sub-SM36	27	M
sub-SM37	23	M
sub-SM38	21	M
sub-SM40	20	F
sub-SM43	22	F
sub-SM45	21	M
sub-SM47	20	F
sub-SM48	21	M
sub-SM50	21	M
sub-SM51	28	M
sub-SM52	24	M
sub-SM54	22	M
sub-SM56	18	M
sub-SM58	21	F
sub-SM60	21	F
sub-SM61	20	M
