participant_id	age	sex	hand
sub-AnSt01	22	F	R
sub-FeKl03	19	M	R
sub-IrCh04	30	M	R
sub-KiKo09	19	F	R
sub-SoNi11	30	M	R
sub-AlBy15	18	F	R
