participant_id	age	sex
sub-0108	23	M
sub-0006	23	F
sub-0015	24	F
sub-0018	20	F
sub-0030	34	F
sub-0028	23	M
sub-0058	27	F
sub-0061	29	F
sub-0054	22	M
sub-0043	24	F
sub-0060	26	M
sub-0011	22	F
sub-0076	22	M
sub-0064	25	F
sub-0073	28	F
sub-0004	28	M
sub-0063	22	M
sub-0069	27	F
sub-0033	20	M
sub-0086	26	M
sub-0014	22	F
sub-0044	25	F
sub-0025	25	F
sub-0094	31	M
sub-0039	23	M
sub-0059	21	F
sub-0099	22	M
sub-0091	22	F
sub-0079	21	M
sub-0095	26	F
sub-0037	24	F
sub-0103	22	M
sub-0101	21	F
sub-0105	19	F
sub-0102	23	F
sub-0107	32	F
sub-0109	19	M
sub-0110	24	M
sub-0111	23	F
sub-0106	25	F
sub-0125	27	F
sub-0127	24	F
sub-0126	25	F
sub-0104	30	F
