participant_id	sex	age
sub-130785	M	42
sub-142464	F	20
sub-148023	F	24.58
sub-169609	M	25.08
sub-176009	F	21
sub-186201	M	23
sub-2519390	M	18.58
sub-297626	F	22.83
sub-299988	F	31.33
sub-407180	F	38.08
sub-44586	F	18.75
sub-446983	F	19.08
sub-456199	F	18.75
sub-497627	F	18
sub-509291	F	24.25
sub-555530	F	42.67
sub-642305	M	34.08
sub-653150	F	26
sub-681160	M	32.75
sub-686402	F	20.08
sub-707328	F	22
sub-720490	F	19.58
sub-730666	M	23.92
sub-784426	F	18.33
sub-800290	F	23.58
sub-8078510	M	26.58
sub-822030	F	21.92
sub-840914	F	26.25
sub-865002	F	22.92
sub-865258	M	24.58
sub-872699	F	37
sub-900294	M	21.33
sub-974048	F	18.75
