participant_id	age	sex	group
sub-ZS001	21	F	FM-based
sub-ZS002	22	M	FM-based
sub-ZS003	37	F	EPI-based
sub-ZS004	30	F	EPI-based
sub-ZS005	28	M	EPI-based
sub-ZS006	32	M	EPI-based
sub-ZS007	21	F	EPI-based
sub-ZS008	33	M	EPI-based
sub-ZS009	31	M	EPI-based
sub-ZS010	22	F	EPI-based
sub-ZS011	29	M	EPI-based
sub-ZS012	26	M	EPI-based
sub-ZS013	27	F	EPI-based
sub-ZS014	30	M	EPI-based
sub-ZS015	24	M	EPI-based
sub-ZS016	27	M	EPI-based
sub-ZS017	30	F	EPI-based
sub-ZS018	27	F	EPI-based
sub-ZS019	30	M	EPI-based
sub-ZS020	25	F	EPI-based
sub-ZS021	20	M	EPI-based
sub-ZS022	28	F	EPI-based
sub-ZS023	30	F	EPI-based
sub-ZS024	33	F	EPI-based
sub-ZS025	23	M	FM-based
sub-ZS026	24	F	FM-based
sub-ZS027	29	F	FM-based
sub-ZS028	33	M	FM-based
sub-ZS029	28	M	FM-based
sub-ZS030	31	F	FM-based
sub-ZS031	26	F	FM-based
sub-ZS032	24	M	FM-based
sub-ZS033	26	M	FM-based
sub-ZS034	24	F	FM-based
sub-ZS035	28	F	FM-based
sub-ZS036	27	M	FM-based
sub-ZS037	23	M	FM-based
sub-ZS038	32	M	FM-based
sub-ZS039	27	M	FM-based
sub-ZS040	31	M	FM-based
sub-ZS041	24	F	FM-based
sub-ZS042	26	F	FM-based
sub-ZS043	25	F	FM-based
sub-ZS044	31	M	FM-based
sub-ZS045	26	M	FM-based
sub-ZS046	23	M	FM-based
sub-ZS047	28	F	EPI-based
sub-ZS048	22	M	EPI-based
