participant_id	age	sex
sub-3E6MS	50	F
sub-AIMMAY	19	M
sub-AS4C6	25	F
sub-AZGVME	24	M
sub-BQEOSS	22	F
sub-BVQQZV	19	F
sub-CTOBJA	23	F
sub-CYZNJD	20	M
sub-EMBPMN	40	F
sub-FPAEIY	23	M
sub-FPEVMB	36	F
sub-GSNICS	19	F
sub-HCQVVC	22	F
sub-HWWOES	27	F
sub-IHNESY	26	M
sub-INTQZE	49	F
sub-INZCYO	20	M
sub-ITSFVT	19	F
sub-LLRNNM	24	M
sub-MFYQGO	19	F
sub-OXTFCM	52	M
sub-OZVPEC	64	F
sub-PGZSVR	21	F
sub-TEXUQV	27	M
sub-UYWGQY	23	F
sub-VUFSQF	24	F
sub-VZNZGP	28	F
sub-WAMSNL	26	F
sub-XMPFLT	18	F
sub-YKAOLD	27	M
sub-YLXWJX	25	F
sub-ZKYEJO	18	F
