participant_id	age	sex	group
sub-2001	23	F	misinfo
sub-2002	23	F	misinfo
sub-2003	25	M	misinfo
sub-2004	23	F	misinfo
sub-2005	23	F	misinfo
sub-2007	24	F	misinfo
sub-2008	22	F	misinfo
sub-2009	23	F	misinfo
sub-2010	21	F	misinfo
sub-2011	22	F	misinfo
sub-2012	21	F	misinfo
sub-2013	21	F	misinfo
sub-2014	25	F	misinfo
sub-2015	23	F	misinfo
sub-2016	22	F	misinfo
sub-2017	24	F	misinfo
sub-2018	19	F	misinfo
sub-2019	20	F	misinfo
sub-2021	19	F	misinfo
sub-2022	21	F	misinfo
sub-2023	22	F	misinfo
sub-2024	24	F	misinfo
sub-2025	20	F	misinfo
sub-2026	24	F	misinfo
sub-2027	22	F	misinfo
sub-2028	18	F	misinfo
sub-2029	18	M	misinfo
sub-2030	20	M	misinfo
sub-2032	23	M	misinfo
sub-2033	20	M	misinfo
sub-2034	25	M	misinfo
sub-2035	20	M	misinfo
sub-2036	21	F	misinfo
sub-2042	18	M	misinfo
sub-2044	19	M	misinfo
sub-2045	19	F	misinfo
sub-2046	23	M	misinfo
sub-2047	18	M	misinfo
sub-2048	21	M	misinfo
sub-2049	18	M	misinfo
sub-2050	20	M	misinfo
sub-2051	22	M	misinfo
sub-2052	23	M	misinfo
sub-2053	22	M	misinfo
sub-2054	23	M	misinfo
sub-2055	24	M	misinfo
sub-2056	23	M	misinfo
sub-2057	20	M	misinfo
sub-2058	21	M	misinfo
sub-2059	21	M	misinfo
sub-2060	20	M	misinfo
sub-2061	21	M	misinfo
sub-2062	21	F	misinfo
sub-2063	23	M	misinfo
sub-2064	22	F	misinfo
sub-2065	23	F	misinfo
sub-2066	20	M	misinfo
