participant_id	age	sex	handedness
sub-sc001	22.0	F	right
sub-sc002	30.0	F	right
sub-sc003	26.0	F	right
sub-sc004	28.0	F	right
sub-sc005	32.0	M	right
sub-sc006	21.0	F	right
sub-sc007	22.0	F	right
sub-sc008	25.0	M	right
sub-sc009	24.0	M	right
sub-sc010	19.0	F	right
sub-sc011	22.0	M	right
sub-sc012	20.0	F	right
sub-sc013	26.0	M	right
sub-sc014	19.0	M	right
sub-sc015	29.0	F	right
sub-sc016	26.0	F	right
sub-sc017	33.0	M	right
sub-sc018	20.0	F	right
sub-sc019	26.0	F	right
sub-sc020	28.0	F	right
sub-sc021	24.0	M	right
sub-sc022	24.0	M	right
sub-sc023	21.0	F	left
sub-sc024	30.0	F	right
sub-sc025	25.0	M	right
sub-sc026	23.0	F	right
sub-sc027	18.0	F	right
sub-sc028	22.0	F	right
sub-sc029	21.0	F	right
sub-sc030	21.0	M	right
sub-sc031	23.0	M	right
sub-sc032	22.0	F	right
sub-sc033	24.0	M	left
sub-sc034	22.0	F	right
sub-sc035	22.0	F	right
sub-sc036	20.0	M	right
sub-sc037	20.0	M	right
sub-sc038	19.0	F	right
