participant_id	age	sex	group
sub-15067	18	F	anti
sub-15069	20	M	pro
sub-15106	20	F	pro
sub-15133	22	M	pro
sub-15138	20	F	pro
sub-15144	24	F	pro
sub-15147	23	M	pro
sub-15181	23	M	pro
sub-15201	19	F	anti
sub-15211	25	M	pro
sub-15214	22	F	anti
sub-15271	25	F	pro
sub-15273	21	M	pro
sub-15287	19	F	pro
sub-15293	23	F	pro
sub-15403	24	F	pro
sub-15411	26	F	anti
sub-15414	19	F	pro
sub-15436	21	F	pro
sub-15447	26	M	pro
sub-15485	22	M	pro
sub-15520	20	F	pro
sub-15544	22	F	pro
sub-15572	23	F	pro
sub-15576	20	F	pro
sub-15578	22	M	pro
sub-15586	24	F	anti
sub-15591	24	M	pro
sub-15597	22	M	pro
sub-15607	22	M	pro
sub-15623	22	M	pro
sub-15637	22	M	anti
sub-15673	22	F	anti
sub-15733	23	M	pro
sub-15741	22	M	anti
sub-15847	27	M	pro
sub-15848	23	F	pro
sub-15882	22	M	anti
sub-15903	21	F	anti
