participant_id	age	sex
sub-MONSTERA06	20	F
sub-MONSTERA07	21	F
sub-MONSTERA08	18	M
sub-MONSTERA09	19	F
sub-MONSTERA10	19	F
sub-MONSTERA11	19	M
sub-MONSTERA12	20	F
sub-MONSTERA13	21	M
sub-MONSTERA14	19	F
sub-MONSTERA15	32	M
sub-MONSTERA17	21	M
sub-MONSTERA16	18	M
sub-MONSTERA18	29	F
sub-MONSTERA19	21	F
sub-MONSTERA20	21	F
sub-MONSTERA21	18	M
sub-MONSTERA23	19	F
sub-MONSTERA22	18	F
sub-MONSTERA24	19	F
sub-MONSTERA26	21	M
sub-MONSTERA25	20	F
sub-MONSTERA28	31	M
sub-MONSTERA27	19	M
sub-MONSTERA34	19	M
sub-MONSTERA31	18	F
sub-MONSTERA33	21	F
sub-MONSTERA29	18	F
sub-MONSTERA32	19	F
sub-MONSTERA30	27	M
sub-MONSTERA35	19	F
sub-MONSTERA36	18	F
sub-MONSTERA37	18	M
sub-MONSTERA38	20	M
sub-MONSTERA39	19	F
sub-MONSTERA40	18	F
sub-MONSTERA41	26	M
sub-MONSTERA42	19	F
sub-MONSTERA43	20	M
sub-MONSTERA44	19	M
sub-MONSTERA45	21	M
sub-MONSTERA47	20	F
sub-MONSTERA46	19	F
sub-MONSTERA48	21	F
sub-MONSTERA49	24	F
sub-MONSTERA50	20	M
sub-MONSTERA52	19	M
sub-MONSTERA51	19	F
sub-MONSTERA53	19	F
