participant_id	age	sex
sub-01	24	F
sub-02	24	F
sub-03	31	F
sub-04	31	M
sub-05	33	F
sub-06	24	M
sub-07	23	F
sub-08	19	M
sub-09	19	M
sub-10	25	F
sub-11	19	F
sub-12	19	F
sub-13	20	F
sub-14	27	F
sub-15	29	M
sub-16	20	F
sub-17	30	M
sub-18	18	F
sub-19	28	M
sub-20	22	F
sub-21	19	M
sub-22	27	F
sub-23	26	M
sub-24	22	M
sub-25	18	F
sub-26	31	M
sub-27	19	F
sub-28	26	F
sub-29	18	F
sub-30	23	F
sub-31	18	M
sub-32	22	M
sub-33	27	M
sub-34	18	F
sub-35	19	F
sub-36	35	M
sub-37	27	M
sub-38	28	F
sub-39	28	F
sub-40	23	F
sub-41	26	F
