participant_id	age	sex	hand	weight	height
sub-M87100058	19	M	R	n/a	n/a
sub-M87100403	20	M	R	n/a	n/a
sub-M87100481	20	M	R	n/a	n/a
sub-M87102708	20	M	R	n/a	n/a
sub-M87103382	22	M	R	n/a	n/a
sub-M87103557	22	M	R	n/a	n/a
sub-M87103820	22	M	R	n/a	n/a
sub-M87104422	20	M	R	n/a	n/a
sub-M87108211	22	M	R	n/a	n/a
sub-M87108718	19	M	R	n/a	n/a
sub-M87109185	22	M	R	n/a	n/a
sub-M87110097	22	M	R	n/a	n/a
sub-M87110408	21	M	R	n/a	n/a
sub-M87110559	20	M	R	n/a	n/a
sub-M87111894	20	M	R	n/a	n/a
sub-M87112953	21	M	R	n/a	n/a
sub-M87114359	19	M	R	n/a	n/a
sub-M87114852	21	M	R	n/a	n/a
sub-M87118946	19	M	R	n/a	n/a
sub-M87121835	20	M	R	n/a	n/a
sub-M87125130	22	M	R	n/a	n/a
sub-M87127530	20	M	R	n/a	n/a
sub-M87129414	19	M	R	n/a	n/a
sub-M87130775	21	M	R	n/a	n/a
sub-M87130996	19	M	R	n/a	n/a
sub-M87134034	19	M	R	n/a	n/a
sub-M87134159	22	M	R	n/a	n/a
sub-M87137391	20	M	R	n/a	n/a
sub-M87138414	19	M	R	n/a	n/a
sub-M87139247	19	M	R	n/a	n/a
sub-M87139600	22	M	R	n/a	n/a
sub-M87140254	21	M	R	n/a	n/a
sub-M87142287	22	M	R	n/a	n/a
sub-M87142864	21	M	R	n/a	n/a
sub-M87143893	21	M	R	n/a	n/a
sub-M87143931	22	M	R	n/a	n/a
sub-M87144409	22	M	R	n/a	n/a
sub-M87145927	19	M	R	n/a	n/a
sub-M87146411	22	M	R	n/a	n/a
sub-M87146538	22	M	R	n/a	n/a
sub-M87146735	20	M	R	n/a	n/a
sub-M87146887	22	M	R	n/a	n/a
sub-M87148080	21	M	R	n/a	n/a
sub-M87150253	22	M	R	n/a	n/a
sub-M87150527	20	M	R	n/a	n/a
sub-M87150564	21	M	R	n/a	n/a
sub-M87153425	21	M	R	n/a	n/a
sub-M87154375	21	M	R	n/a	n/a
sub-M87155374	20	M	R	n/a	n/a
sub-M87156984	21	M	R	n/a	n/a
sub-M87157961	21	M	R	n/a	n/a
sub-M87160397	19	M	R	n/a	n/a
sub-M87160584	20	M	R	n/a	n/a
sub-M87162136	19	M	R	n/a	n/a
sub-M87164176	22	M	R	n/a	n/a
sub-M87164575	22	M	R	n/a	n/a
sub-M87165811	19	M	R	n/a	n/a
sub-M87167594	22	M	R	n/a	n/a
sub-M87168299	19	F	R	n/a	n/a
sub-M87169210	19	M	R	n/a	n/a
sub-M87169286	19	M	R	n/a	n/a
sub-M87170144	19	M	R	n/a	n/a
sub-M87171097	19	M	R	n/a	n/a
sub-M87171668	20	M	R	n/a	n/a
sub-M87173764	21	M	R	n/a	n/a
sub-M87174633	19	M	R	n/a	n/a
sub-M87175273	19	M	R	n/a	n/a
sub-M87175429	19	M	R	n/a	n/a
sub-M87176537	21	M	R	n/a	n/a
sub-M87178102	20	M	R	n/a	n/a
sub-M87178210	22	M	R	n/a	n/a
sub-M87178611	22	M	R	n/a	n/a
sub-M87184941	19	M	R	n/a	n/a
sub-M87185394	21	M	R	n/a	n/a
sub-M87186388	19	M	R	n/a	n/a
sub-M87187516	20	M	R	n/a	n/a
sub-M87187776	0	M	R	n/a	n/a
sub-M87187838	21	M	R	n/a	n/a
sub-M87190095	21	M	R	n/a	n/a
sub-M87190604	19	M	R	n/a	n/a
sub-M87192693	21	M	R	n/a	n/a
sub-M87195334	20	M	R	n/a	n/a
sub-M87195556	20	M	R	n/a	n/a
sub-M87197101	22	M	R	n/a	n/a
sub-M87198523	19	M	R	n/a	n/a
