participant_id	group
sub-01	Active
sub-02	Control
sub-03	Passive
sub-04	Passive
sub-05	Active
sub-06	Passive
sub-07	Active
sub-08	Passive
sub-09	Control
sub-10	Active
sub-11	Passive
sub-12	Control
sub-13	Passive
sub-14	Control
sub-15	Active
sub-16	Active
sub-17	Control
sub-18	Control
sub-19	Active
sub-21	Passive
sub-22	Control
