participant_id	age	sex	group
sub-101DPMB042002	26	F	eye
sub-101DPMB042004	23	M	eye
sub-101DPMB041005	22	M	eye
sub-101DPMB042006	27	F	eye
sub-101DPMB041007	23	M	eye
sub-101DPMB041008	20	M	eye
sub-101DPMB041009	22	F	eye
sub-101DPMB042010	34	M	eye
sub-101DPMB041013	25	F	eye
sub-101DPMB042001	24	F	eye
sub-101DPMB041003	19	F	eye
sub-101DPMB041011	26	F	eye
sub-101DPMB042014	22	M	eye
sub-101DPMB041015	21	F	eye
sub-101DPMB042016	26	F	eye
sub-101DPMB041017	22	F	eye
sub-101DPMB042018	23	M	eye
sub-101DPMB042019	23	F	eye
sub-101DPMB041020	27	F	eye
sub-101DPMB041012	25	M	eye
sub-101DPMB042021	22	F	eye
sub-101DPMB042022	19	M	eye
sub-101DPMB041023	19	F	eye
sub-101DPMB042024	22	F	eye
sub-101DPMB041025	19	F	eye
sub-101DPMB041026	20	M	eye
sub-101DPMB042027	18	F	eye
sub-101DPMB041028	27	F	eye
sub-101DPMB042029	20	F	eye
sub-101DPMB041030	24	F	eye
sub-101DPMB042031	20	F	eye
sub-101DPMB041032	22	F	eye
sub-101DPMB042033	19	F	eye
sub-101DPMB042034	19	M	eye
