participant_id	age	sex	handedness
sub-001	16	M	R
sub-002	17	F	R
sub-003	15	F	R
sub-004	8	M	R
sub-005	14	F	R
sub-006	14	M	R
sub-007	16	F	R
sub-008	17	F	R
sub-009	10	M	R
sub-010	8	F	R
sub-011	8	M	R
sub-012	11	F	R
sub-013	16	M	R
sub-014	18	F	R
sub-015	17	M	R
sub-016	8	M	L
sub-017	17	M	R
sub-018	14	M	R
sub-019	10	F	R
sub-020	10	M	L
sub-021	15	M	R
sub-022	19	F	R
sub-023	6	F	R
sub-024	14	F	R
sub-025	11	M	R
sub-026	13	M	R
sub-027	23	M	R
sub-028	10	M	R
sub-029	5	M	R
sub-030	16	F	R
sub-031	16	M	R
sub-032	37	F	R
sub-033	14	M	R
sub-034	5	F	R
sub-035	11	F	R
sub-036	21	F	L
sub-037	17	M	R
sub-038	15	F	R
sub-039	44	M	A
sub-040	37	F	R
sub-041	14	F	R
sub-042	28	F	R
sub-043	20	M	R
sub-044	14	F	R
sub-045	13	F	R
sub-046	41	F	R
sub-047	12	M	R
sub-048	8	M	R
sub-050	10	M	R
sub-051	12	M	R
sub-052	9	M	R
sub-053	28	M	R
sub-054	27	F	R
sub-055	17	M	R
sub-056	15	F	R
sub-057	6	F	L
sub-058	12	F	R
sub-059	5	F	R
sub-060	9	F	R
sub-061	30	M	R
sub-062	21	F	R
sub-063	13	M	R
sub-065	11	F	R
sub-066	17	M	L
sub-067	16	M	R
sub-069	8	M	R
sub-070	13	F	R
sub-071	14	F	R
sub-072	12	M	R
sub-073	13	F	R
sub-074	11	F	R
sub-075	15	M	R
sub-076	14	F	R
sub-077	11	F	R
sub-078	12	F	R
sub-079	17	M	L
sub-080	11	F	R
sub-081	17	M	R
sub-082	10	F	R
sub-083	13	M	R
sub-084	11	M	R
sub-085	16	M	R
sub-086	15	M	R
sub-088	15	M	R
sub-089	10	M	R
sub-090	10	M	R
sub-091	16	M	R
sub-092	12	F	R
sub-093	8	M	R
sub-094	14	F	R
sub-095	12	F	R
sub-096	19	M	R
sub-097	6	F	R
sub-098	16	F	R
sub-099	8	M	R
sub-101	16	M	R
sub-102	19	F	R
sub-103	15	F	R
sub-104	14	F	R
sub-105	5	F	L
sub-106	16	F	R
sub-107	13	M	R
sub-108	16	F	R
sub-109	9	M	R
sub-110	13	M	R
sub-111	11	M	R
sub-112	13	F	R
sub-113	20	M	R
sub-114	49	F	R
sub-115	12	F	R
sub-116	15	F	R
sub-117	8	F	R
sub-118	16	M	R
sub-119	17	M	L
sub-120	13	M	R
sub-121	7	F	R
sub-123	17	M	R
sub-124	19	M	R
sub-125	15	F	R
sub-126	18	M	R
sub-127	8	M	R
