participant_id	age	sex
sub-101	26	F
sub-102	31	F
sub-103	35	F
sub-104	19	F
sub-105	18	F
sub-106	21	F
sub-107	21	F
sub-108	19	F
sub-109	22	M
sub-110	22	F
sub-111	19	F
sub-112	20	F
sub-113	29	F
sub-114	32	F
sub-115	23	F
sub-116	21	F
sub-117	24	F
sub-118	22	F
sub-119	30	M
sub-120	18	M
sub-121	19	F
sub-122	18	F
sub-123	19	M
sub-124	19	F
sub-125	18	M
sub-126	21	F
sub-127	21	M
sub-128	20	F
sub-129	23	M
sub-130	18	F
sub-131	20	F
sub-132	18	F
sub-133	20	M
sub-134	20	F
sub-135	18	F
sub-136	20	M
sub-137	19	F
sub-138	20	F
sub-139	20	M
sub-140	19	M
sub-141	22	M
sub-142	18	F
sub-143	21	F
sub-144	18	F
