participant_id	age	sex
sub-20188	19	M
sub-20463	19	M
sub-20828	16	F
sub-20966	18	F
sub-20968	18	F
sub-21623	17	F
sub-22169	17	F
sub-22510	18	F
sub-23698	18	F
sub-23931	22	F
sub-24053	20	M
sub-24630	21	M
sub-24663	22	F
sub-24683	23	F
sub-24684	19	M
sub-24696	23	F
sub-24697	21	F
sub-24699	23	M
sub-24702	21	F
sub-24717	19	F
sub-24743	19	F
sub-24744	21	F
sub-24749	22	M
sub-24756	22	M
sub-24759	21	F
sub-24762	21	F
sub-24773	21	M
sub-24775	22	M
sub-24777	20	M
sub-24784	18	F
sub-24793	16	F
sub-24796	23	F
sub-24797	19	F
sub-24800	19	F
sub-60107	19	F
sub-60114	21	F
sub-60197	21	F
sub-60295	21	F
sub-60463	15	M
sub-60466	23	F
sub-60471	23	F
sub-60474	23	M
sub-60476	23	M
sub-60499	19	F
sub-60528	23	F
sub-60529	23	F
sub-60530	23	F
sub-60590	22	F
sub-60638	19	F
sub-PILOT01	31	F
sub-PILOT02	28	O
