participant_id	age	sex	hand
sub-es01	n/a	n/a	n/a
sub-es03	n/a	n/a	n/a
sub-es04	n/a	n/a	n/a
sub-es06	n/a	n/a	n/a
sub-es07	n/a	n/a	n/a
sub-es08	n/a	n/a	n/a
sub-es09	n/a	n/a	n/a
sub-es10	n/a	n/a	n/a
sub-es11	n/a	n/a	n/a
sub-es12	n/a	n/a	n/a
sub-es13	n/a	n/a	n/a
sub-es15	n/a	n/a	n/a
sub-es17	n/a	n/a	n/a
sub-es18	n/a	n/a	n/a
sub-es19	n/a	n/a	n/a
sub-es20	n/a	n/a	n/a
sub-es21	n/a	n/a	n/a
sub-es22	n/a	n/a	n/a
sub-es23	n/a	n/a	n/a
sub-es25	n/a	n/a	n/a
sub-es26	n/a	n/a	n/a
sub-es27	n/a	n/a	n/a
sub-es28	n/a	n/a	n/a
sub-es30	n/a	n/a	n/a
sub-es31	n/a	n/a	n/a
sub-es32	n/a	n/a	n/a
sub-es33	n/a	n/a	n/a
sub-es34	n/a	n/a	n/a
sub-es35	n/a	n/a	n/a
sub-es40	n/a	n/a	n/a
sub-es41	n/a	n/a	n/a
sub-es42	n/a	n/a	n/a
sub-es44	n/a	n/a	n/a
sub-es45	n/a	n/a	n/a
sub-es46	n/a	n/a	n/a
sub-es47	n/a	n/a	n/a
