participant_id	age	sex
sub-01	31.0	m
sub-02	30.0	m
sub-03	35.0	m
sub-04	22.0	f
sub-05	35.0	m
sub-06	32.0	m
sub-07	28.0	m
sub-08	28.0	m
sub-09	24.0	m
sub-10	32.0	f
sub-11	29.0	m
sub-12	20.0	f
sub-13	30.0	m
sub-14	31.0	m
sub-15	30.0	f
sub-16	34.0	m
sub-17	32.0	f
sub-18	25.0	m
sub-19	23.0	f
sub-20	22.0	f
sub-21	26.0	f
sub-22	21.0	f
sub-23	26.0	f
sub-24	24.0	f
sub-25	25.0	f
sub-26	32.0	f
sub-27	28.0	m
sub-28	28.0	f
sub-29	18.0	f
sub-30	24.0	m
sub-31	22.0	f
sub-32	22.0	f
sub-33	33.0	f
sub-34	21.0	m
sub-35	34.0	m
sub-36	26.0	f
sub-37	28.0	f
sub-38	22.0	m
sub-39	32.0	f
sub-40	25.0	m
