participant_id	sex	age
sub-s8177	M	18
sub-s8178	F	23
sub-s8189	M	19
sub-s8190	M	30
sub-s8191	F	30
sub-s8193	F	23
sub-s8194	F	28
sub-s8195	F	26
sub-s8211	M	20
sub-s8220	F	21
sub-s8221	F	23
sub-s8244	F	23
sub-s8268	F	22
sub-s8296	F	22
sub-s8313	M	19
sub-s8314	F	24
sub-s8355	F	26
sub-s8356	F	21
sub-s8363	M	21
sub-s8367	M	21
sub-s8412	F	21
sub-s8436	F	21
sub-s8437	F	23
sub-s8458	F	26
sub-s8459	F	22
sub-s8500	F	27
sub-s8550	M	21
sub-s8680	F	22
sub-s8681	F	24
sub-s8726	F	20
sub-s8727	F	21
sub-s8739	M	26
sub-s8760	F	21
sub-s8761	F	21
sub-s8776	F	20
sub-s8800	F	22
