participant_id	age	sex	handedness
sub-103	18.32222222	M	R
sub-105	20.70833333	M	R
sub-106	18.82777778	M	R
sub-107	20.01666667	F	R
sub-110	23.5	M	R
sub-111	24.25555556	F	R
sub-112	25.86666667	F	R
sub-113	20.98611111	F	R
sub-114	19.59166667	F	R
sub-115	24.34722222	M	R
sub-116	21.96388889	M	R
sub-118	21.72777778	F	R
sub-120	22.025	F	R
sub-121	18.68333333	F	R
sub-122	20.98055556	M	R
sub-123	18.85277778	F	R
sub-124	19.67777778	M	R
sub-125	21.65	F	R
sub-126	19.5	M	R
sub-127	20.93333333	F	R
sub-128	10.6	M	R
sub-131	8.177777778	M	R
sub-132	14.71666667	M	R
sub-134	9.263888889	F	R
sub-135	10.35277778	F	R
sub-136	17.30277778	F	R
sub-141	16.42222222	F	R
sub-142	16.08055556	M	R
sub-143	13.24722222	M	R
sub-144	11.63055556	F	R
sub-146	11.85555556	M	R
sub-147	11.16388889	F	R
sub-149	10.04166667	M	R
sub-151	14.55	F	R
sub-152	12.30833333	M	R
sub-153	9.766666667	M	R
sub-154	8.322222222	M	R
sub-156	17.68333333	F	R
sub-157	15.78888889	F	R
sub-158	11.51111111	M	R
sub-161	9.938888889	M	R
sub-162	16.58611111	M	R
sub-163	16.23055556	F	R
sub-164	14.16666667	M	R
sub-165	16.61111111	F	R
sub-166	9.733333333	F	R
sub-167	11.12222222	M	R
sub-171	12.46111111	M	R
sub-172	12.71666667	F	R
sub-173	16.40277778	M	R
sub-174	17.45555556	F	R
sub-175	14.26388889	M	R
sub-176	10.49166667	M	R
sub-178	14.06944444	F	R
sub-181	13.68333333	F	R
sub-182	15.87777778	F	R
sub-183	15.40277778	M	R
sub-184	8.277777778	F	R
sub-185	11.67777778	F	R
sub-186	8.672222222	M	R
sub-187	8.022222222	F	R
sub-188	8.888888889	F	R
sub-190	8.291666667	F	R
sub-191	23.59722222	F	R
sub-192	24.73055556	M	R
sub-193	25.19444444	F	R
sub-194	25.11388889	M	R
sub-195	21.68888889	M	R
sub-196	22.40555556	M	R
sub-197	24.00555556	F	R
sub-201	22.31388889	F	R
sub-202	23.49722222	M	R
sub-203	13.72777778	F	R
sub-204	17.06944444	F	R
sub-205	15.35	M	R
sub-207	17.33611111	M	R
sub-212	16.6	M	R
sub-214	16.00555556	M	R
sub-215	12.15833333	F	R
sub-216	12.525	F	R
sub-219	13.925	M	R
sub-220	9.461111111	F	R
sub-221	10.01111111	F	R
sub-223	21.89444444	M	R
sub-224	11.675	M	R
sub-225	15.63055556	F	R
sub-226	14.44166667	F	R
sub-227	14.24444444	M	R
sub-228	10.86388889	F	R
sub-229	13.05833333	F	R
