participant_id	Group
sub-1	alone
sub-2	audience
sub-3	audience
sub-4	alone
sub-5	alone
sub-6	audience
sub-7	alone
sub-8	audience
sub-9	audience
sub-10	alone
sub-11	audience
sub-12	alone
sub-13	alone
sub-14	audience
sub-15	audience
sub-16	alone
sub-17	audience
sub-18	audience
sub-19	alone
sub-20	alone
sub-21	audience
sub-22	alone
sub-23	audience
sub-24	audience
sub-25	alone
sub-26	alone
sub-27	audience
sub-28	audience
sub-29	alone
sub-30	alone
sub-31	audience
sub-32	audience
sub-33	alone
sub-34	alone
sub-35	audience
sub-36	alone
sub-37	audience
sub-38	alone
sub-39	alone
sub-40	alone
sub-41	alone
sub-42	audience
sub-43	audience
sub-44	audience
sub-45	alone
sub-46	audience
sub-47	audience
