participant_id	age	sex
sub-001	36	M
sub-002	36.1	M
sub-003	36.3	M
sub-004	36.3	F
sub-005	36.3	M
sub-006	36.4	F
sub-007	36.5	F
sub-008	36.5	F
sub-009	36.5	F
sub-010	36.6	F
sub-011	36.8	M
sub-012	36.8	M
sub-013	37.2	F
sub-014	37.4	F
sub-015	37.6	M
sub-016	37.7	M
sub-017	37.8	M
sub-018	38	M
sub-019	38	F
sub-020	38.1	F
sub-021	38.2	M
sub-022	38.2	M
sub-023	38.3	M
sub-024	38.4	M
sub-025	38.5	F
sub-026	38.5	M
sub-027	38.7	F
sub-028	38.8	M
sub-029	39.1	F
sub-030	39.3	M
sub-031	39.4	F
sub-032	39.7	F
sub-033	39.8	M
sub-034	40	F
sub-035	40.3	M
sub-036	40.6	F
sub-037	40.6	M
sub-038	40.8	F
sub-039	40.9	M
sub-040	41.4	F
sub-041	41.6	M
sub-042	41.6	F
sub-043	42.4	F
sub-044	42.6	M
sub-045	43.1	F
sub-046	44	F
sub-047	44.2	M
sub-048	44.3	F
sub-049	44.8	M
sub-050	45.3	M
sub-051	46.6	F
sub-052	46.6	M
sub-053	46.9	M
sub-054	47	F
sub-055	47.1	M
sub-056	47.2	M
sub-057	47.3	M
sub-058	47.4	F
sub-059	47.7	F
sub-060	48.6	M
sub-061	48.8	F
sub-062	49.1	M
sub-063	49.3	F
sub-064	49.4	F
sub-065	50.1	M
sub-066	50.9	F
sub-067	51.7	F
sub-068	51.9	M
sub-069	52	M
sub-070	52.2	F
sub-071	52.3	M
sub-072	52.3	F
sub-073	53	M
sub-074	53	M
sub-075	53.3	F
sub-076	53.3	M
sub-077	53.7	M
sub-078	54.5	F
sub-079	54.9	M
sub-080	55.3	M
sub-081	55.8	F
sub-082	55.9	F
sub-083	55.9	M
sub-084	56	M
sub-085	56.3	M
sub-086	56.3	F
sub-087	56.6	M
sub-088	56.9	F
sub-089	57.1	F
sub-090	57.4	F
sub-091	57.9	M
sub-092	58	F
sub-093	58.3	F
sub-094	58.5	M
sub-095	58.7	F
sub-096	58.7	F
sub-097	59.2	F
sub-098	60	M
sub-099	60.4	F
sub-100	60.5	M
sub-101	60.5	F
sub-102	60.6	M
sub-103	60.7	M
sub-104	60.7	F
sub-105	61.1	F
sub-106	61.6	F
sub-107	62.2	F
sub-108	62.3	M
sub-109	62.4	F
sub-110	62.5	M
sub-111	63.4	M
sub-112	64.1	F
sub-113	64.6	F
sub-114	65.2	M
sub-115	65.8	M
sub-116	66.5	F
sub-117	66.6	F
sub-118	67.1	M
sub-119	67.4	M
sub-120	67.8	M
sub-121	67.8	F
sub-122	67.9	F
sub-123	68.3	F
sub-124	68.5	F
sub-125	68.8	F
sub-126	69	F
sub-127	69.3	F
sub-128	69.7	M
sub-129	69.8	F
sub-130	70	F
sub-131	70.3	M
sub-132	70.4	F
sub-133	70.4	M
sub-134	70.7	F
sub-135	71.2	M
sub-136	71.3	M
sub-137	71.3	F
sub-138	71.9	F
sub-139	72.3	F
sub-140	72.6	M
sub-141	72.7	F
sub-142	73.3	F
sub-143	73.5	F
sub-144	74.1	F
sub-145	74.6	F
sub-146	75.2	F
sub-147	75.3	M
sub-148	75.7	M
sub-149	75.8	F
sub-150	75.8	M
sub-151	76	F
sub-152	76.6	F
sub-153	77	F
sub-154	77.1	F
sub-155	77.3	F
sub-156	78.1	M
sub-157	78.2	F
sub-158	78.8	F
sub-159	79	F
sub-160	79.4	F
sub-161	79.8	M
sub-162	80	F
sub-163	80.2	F
sub-164	80.4	M
sub-165	80.5	M
sub-166	81.1	M
sub-167	81.3	F
sub-168	81.4	F
sub-169	81.5	M
sub-170	81.6	M
sub-171	81.8	F
sub-172	82.3	M
sub-173	82.9	F
sub-174	83	F
sub-175	83.1	F
sub-176	83.3	F
sub-177	83.8	M
sub-178	84	F
sub-179	84.3	F
sub-180	84.5	F
sub-181	84.5	M
sub-182	84.7	F
sub-183	84.9	F
sub-184	85	M
sub-185	85.1	F
sub-186	85.2	F
sub-187	85.7	M
sub-188	85.8	M
sub-189	86.1	M
sub-190	87	M
sub-191	87.2	F
sub-192	87.8	F
sub-193	88.9	F
sub-194	89.1	F
sub-195	89.8	M
sub-196	100	F
sub-197	100	M
sub-198	46.5	F
sub-199	100	F
sub-200	100	F
